title,publication_frequency,url,place_of_publication,publisher,lccn_number,oclc_number,primary_language,start_year,end_year,city,county,state,latitude,longitude,place_0,subject_0,subject_1,note_0,note_1,note_2,note_3,the_geom,cartodb_id,created_at,updated_at
Southwestern Jewish Sentiment,Weekly,http://chroniclingamerica.loc.gov/lccn/sn91065002,"Dallas, Tex.",[s.n.],sn91065002,23288769,English,1933-01-01 00:00:00+00,1999-01-01 00:00:00+00,Dallas,Dallas,Texas,32.776664,-96.796988,Texas--Dallas--Dallas,Dallas (Tex.)--Newspapers.,Jewish newspapers--United States.,"""The only Jewish paper in the Southwest.""","Description based on: Vol. 1, no. 21 (July 5, 1901).","Editor: Frank J. Cohen, <July 5, 1901-Aug. 8, 1902>.",,0101000020E61000007CD3F4D9013358C082FDD7B969634040,306,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Chicago Jewish Chronicle,Biweekly,http://chroniclingamerica.loc.gov/lccn/sn91065011,"Chicago, Ill.",Chicago Jewish Chronicle,sn91065011,23288715,English,1900-01-01 00:00:00+00,,Chicago,Cook,Illinois,41.878114,-87.629798,Illinois--Cook--Chicago,Chicago (Ill.)--Newspapers.,Illinois.--fast--(OCoLC)fst01205143,"""An American weekly paper for the modern Jewish home.""",Also issued on microfilm from the New York Public Library.,Published on Fridays.,Volume and issue numbering irregular.,0101000020E61000008445459C4EE855C07214200A66F04440,307,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Ledger,Weekly,http://chroniclingamerica.loc.gov/lccn/sn93054087,"Hartford, Conn.",Jewish Ledger Publications,sn93054087,28641987,English,1928-01-01 00:00:00+00,1949-01-01 00:00:00+00,Hartford,Hartford,Connecticut,41.763711,-72.685093,Connecticut--Hartford--Hartford,Connecticut.--fast--(OCoLC)fst01205688,Hartford (Conn.)--Newspapers.,Available on microfilm from American Jewish Periodicals Center and from New York Public Library.,"Description based on: Vol. 16, no. 10 (June 23, 1944).","Merged with New Haven, Bridgeport, Conn. and Springfield, Mass. eds. to form combined ed.",,0101000020E6100000FC6D4F90D82B52C0384C3448C1E14440,308,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Ledger,Weekly,http://chroniclingamerica.loc.gov/lccn/sn93054088,"Hartford, Conn.",Jewish Ledger Publications,sn93054088,28641910,English,1944-01-01 00:00:00+00,1955-01-01 00:00:00+00,Hartford,Hartford,Connecticut,41.763711,-72.685093,Connecticut--Hartford--Hartford,Connecticut.--fast--(OCoLC)fst01205688,Jewish newspapers--Connecticut.,Available on microfilm from American Jewish Periodicals Center.,"Merged with Hartford, Bridgeport, Conn. and Springfield, Mass. eds. to form combined ed.",,,0101000020E6100000FC6D4F90D82B52C0384C3448C1E14440,309,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Tribune,,http://chroniclingamerica.loc.gov/lccn/sn91074168,"Atlanta, Ga.",[s.n.],sn91074168,18675542,English,1944-01-01 00:00:00+00,1955-01-01 00:00:00+00,Atlanta,Fulton,Georgia,33.748995,-84.387982,Georgia--Fulton--Atlanta,Atlanta (Ga.)--Newspapers.,Georgia--Atlanta.--fast--(OCoLC)fst01204627,"Description based on: Vol. 1, no. 14 (Feb. 28, 1896).",Judaism-Americanism-Liberalism.,Photocopy.,,0101000020E6100000F25B74B2D41855C00BEF7211DFDF4040,310,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Ri Review,Weekly,http://chroniclingamerica.loc.gov/lccn/sn92064157,"Providence, R.I.",[Leon Semonoff],sn92064157,26231246,English,1890-01-01 00:00:00+00,1999-01-01 00:00:00+00,Providence,Providence,Rhode Island,41.823989,-71.412834,Rhode Island--Providence--Providence,Jewish newspapers--Rhode Island.,Jewish newspapers.--fast--(OCoLC)fst00982872,"Description based on: Vol. 17, no. 14 (Dec. 29, 1938).",,,,0101000020E6100000522B4CDF6BDA51C0C2A1B77878E94440,311,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Occident,Weekly,http://chroniclingamerica.loc.gov/lccn/sn93057051,"Chicago, Ill.",Occident Pub. Co.,sn93057051,27327290,English,1930-01-01 00:00:00+00,1949-01-01 00:00:00+00,Chicago,Cook,Illinois,41.878114,-87.629798,Illinois--Cook--Chicago,Chicago (Ill.)--Newspapers.,Illinois--Chicago.--fast--(OCoLC)fst01204048,"Description based on: Vol. 6, no. 2 (Apr. 26, 1878).",In English with occasional notices in Hebrew.,Issue numbering is irregular.,"Latest issue consulted: Vol. 24, no. 19 (Feb. 7, 1896).",0101000020E61000008445459C4EE855C07214200A66F04440,312,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Voice,Weekly,http://chroniclingamerica.loc.gov/lccn/sn94082049,"Yonkers, N.Y.",Betund Publishers,sn94082049,32351716,English,1870-01-01 00:00:00+00,1899-01-01 00:00:00+00,Yonkers,Westchester,New York,40.93121,-73.898747,New York--Westchester--Yonkers,Jewish newspapers--New York (State),Jewish newspapers.--fast--(OCoLC)fst00982872,Microfilm.,"Published as: The Voice of better understanding, July 11, 1941-<Aug. 14, 1942>.",,,0101000020E610000033182312857952C0A5DAA7E331774440,313,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Kol Shalom,Four no. per academic year,http://chroniclingamerica.loc.gov/lccn/sn94083563,"Carbondale, Ill.","Southern Illinois University, B'nai B'rith Hillel Foundation.",sn94083563,32331132,English,1940-01-01 00:00:00+00,,Carbondale,,Illinois,37.727273,-89.21675,,Jewish college students--United States--Periodicals.,Jewish college students.--fast--(OCoLC)fst00982712,Microfilm.,"Vol. 2, no. 1-2; v.3, no. 1, repeated in numbering.",,,0101000020E61000001D5A643BDF4D56C0C4211B4817DD4240,314,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Leader,Biweekly,http://chroniclingamerica.loc.gov/lccn/sn89077944,"New London, Ct.",Jewish Federation of Eastern Connecticut,sn89077944,19217055,English,1973-01-01 00:00:00+00,1975-01-01 00:00:00+00,New London,New London,Connecticut,41.355654,-72.099521,Connecticut--New London--New London,Connecticut.--fast--(OCoLC)fst01205688,Jewish newspapers--Connecticut.,"Description based on: Vol. 13, no. 1 (Jan. 1, 1987).",,,,0101000020E6100000F910548D5E0652C08658FD1186AD4440,315,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish South,Weekly,http://chroniclingamerica.loc.gov/lccn/sn89059137,"New Orleans, La.",Jewish South Pub. Co.,sn89059137,19537120,English,1901-01-01 00:00:00+00,1999-01-01 00:00:00+00,New Orleans,Orleans,Louisiana,29.951066,-90.071532,Louisiana--Orleans--New Orleans,Jewish newspapers--Louisiana--New Orleans.,Jewish newspapers.--fast--(OCoLC)fst00982872,"Description based on: Vol. 8, no. 9 (Aug. 5, 1881).",,,,0101000020E61000008527F4FA938456C06956B60F79F33D40,317,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
St Louis Light,Monthly,http://chroniclingamerica.loc.gov/lccn/sn90061492,"St. Louis, Mo.",Jewish Welfare Fund,sn90061492,22700536,English,1800-01-01 00:00:00+00,1999-01-01 00:00:00+00,Saint Louis,,Missouri,38.627003,-90.199404,Missouri--Saint Louis,Jewish newspapers--Missouri--Saint Louis.,Jewish newspapers.--fast--(OCoLC)fst00982872,,,,,0101000020E610000043ACFE08C38C56C038BF61A241504340,318,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Rhode Island Israelite,Weekly,http://chroniclingamerica.loc.gov/lccn/sn92063918,"Providence, R.I.",R.I. Israelite Pub. Co.,sn92063918,25119074,English,1947-01-01 00:00:00+00,1963-01-01 00:00:00+00,Providence,Providence,Rhode Island,41.823989,-71.412834,Rhode Island--Providence--Providence,Jewish newspapers--Rhode Island.,Jewish newspapers.--fast--(OCoLC)fst00982872,In Hebrew and English.,,,,0101000020E6100000522B4CDF6BDA51C0C2A1B77878E94440,319,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Rhode Island Jewish Review,Weekly,http://chroniclingamerica.loc.gov/lccn/sn92063946,"Providence, R.I.",Review Pub. Co.,sn92063946,25249116,English,1894-01-01 00:00:00+00,1895-01-01 00:00:00+00,Providence,Providence,Rhode Island,41.823989,-71.412834,Rhode Island--Providence--Providence,Jewish newspapers--Rhode Island.,Jewish newspapers.--fast--(OCoLC)fst00982872,,,,,0101000020E6100000522B4CDF6BDA51C0C2A1B77878E94440,320,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Review,Irregular,http://chroniclingamerica.loc.gov/lccn/sn92063947,"Providence, R.I.",Review Pub. Co.,sn92063947,25249169,English,1920-01-01 00:00:00+00,1922-01-01 00:00:00+00,Providence,Providence,Rhode Island,41.823989,-71.412834,Rhode Island--Providence--Providence,Jewish newspapers--Rhode Island.,Jewish newspapers.--fast--(OCoLC)fst00982872,,,,,0101000020E6100000522B4CDF6BDA51C0C2A1B77878E94440,321,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Community Voice,Monthly (except July),http://chroniclingamerica.loc.gov/lccn/sn92063992,"Providence, R.I.",Jewish Federation of Rhode Island,sn92063992,25391744,English,1922-01-01 00:00:00+00,1939-01-01 00:00:00+00,Providence,Providence,Rhode Island,41.823989,-71.412834,Rhode Island--Providence--Providence,Jewish newspapers--Rhode Island.,Jewish newspapers.--fast--(OCoLC)fst00982872,"Description based on: Vol. 1, no. 3 (Jan. 10, 1974).",,,,0101000020E6100000522B4CDF6BDA51C0C2A1B77878E94440,322,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Voice /,Monthly (except Aug.),http://chroniclingamerica.loc.gov/lccn/sn92005398,"Providence, R.I.",The Federation,sn92005398,26737285,English,1973-01-01 00:00:00+00,1977-01-01 00:00:00+00,Providence,Providence,Rhode Island,41.823989,-71.412834,Rhode Island--Providence--Providence,Jewish newspapers--Rhode Island.,Jewish newspapers.--fast--(OCoLC)fst00982872,,,,,0101000020E6100000522B4CDF6BDA51C0C2A1B77878E94440,323,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
EkңSpres = Express,Weekly,http://chroniclingamerica.loc.gov/lccn/sn93062895,Chicago [Ill.],Express Pub. Co.,sn93062895,27997469,English,1992-01-01 00:00:00+00,1999-01-01 00:00:00+00,Chicago,Cook,Illinois,41.878114,-87.629798,Illinois--Cook--Chicago,Chicago (Ill.)--Newspapers.,Jewish newspapers--United States.,"""Jewish-English national weekly publication.""",In Yiddish and English.,,,0101000020E61000008445459C4EE855C07214200A66F04440,324,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
TңEglikher Yidisher KңOl,Weekly,http://chroniclingamerica.loc.gov/lccn/sn93062922,"[Chicago, Ill.]",Jewish Call Pub. Ass'n.,sn93062922,28031710,Yiddish,1933-01-01 00:00:00+00,1999-01-01 00:00:00+00,Chicago,Cook,Illinois,41.878114,-87.629798,Illinois--Cook--Chicago,Chicago (Ill.)--Newspapers.,Illinois.--fast--(OCoLC)fst01205143,"Beginning with May 5, 1901 issue Sunday edition has separate volume and issue numbering.",Daily edition has a parallel title: The Daily Jewish call.,Editor: Leon Zolotkoff.,In Yiddish.,0101000020E61000008445459C4EE855C07214200A66F04440,325,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Answer,Weekly,http://chroniclingamerica.loc.gov/lccn/sn95079599,"New York, NY",Answer Pub. Co.,sn95079599,33058681,English,1901-01-01 00:00:00+00,1999-01-01 00:00:00+00,New York,,New York,40.712784,-74.005941,New York--New York,Jewish nationalism--Newspapers.,Jewish nationalism.--fast--(OCoLC)fst00982863,"""A non-sectarian approach to the problems of the Hebrew people in Europe and Palestine"", -Oct. 11, 1946 ; ""An American weekly dedicated to the struggle for Hebrew national liberation and the independence of Palestine"", Oct. 18, 1946-","Description based on: Vol. 1, no. 13/14 (Dec. 5, 1943).","Latest issue consulted: Vol. 6, no. 44 (Dec. 10, 1948).","Published an edition in France entitled, La Riposte, <1946>.",0101000020E6100000282D5C56618052C0588E90813C5B4440,326,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish News Weekly Of Northern California : J,Weekly (except first week in July and last week in Dec.),http://chroniclingamerica.loc.gov/lccn/2003213438,"San Francisco, CA",San Francisco Jewish Community Publications,2003213438.0,53128779,English,1943-01-01 00:00:00+00,1948-01-01 00:00:00+00,San Francisco,San Francisco,California,37.77493,-122.419416,California--San Francisco--San Francisco,"California, Northern.--fast--(OCoLC)fst01692637",California.--fast--(OCoLC)fst01204928,Called also: J. 1-,"Vol. 107, no. 43 repeats on issues for Oct. 31/Nov. 6 and Nov. 7/13, 2003.",,,0101000020E6100000D3DA34B6D79A5EC03A58FFE730E34240,327,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Monitor,Weekly,http://chroniclingamerica.loc.gov/lccn/2013272051,,,2013272051.0,861291396,English,2003-01-01 00:00:00+00,,Fort Worth,Tarrant,Texas,32.755488,-97.330766,Texas--Tarrant--Fort Worth,Fort Worth (Tex.)--Newspapers.,Jewish newspapers--Southwestern States.,"Description based on: Vol. VIII, no. 13 (June 20, 1919); title from masthead (Chroniclingamerica.loc.gov, viewed October 23, 2013).","Latest issue consulted: Vol. IX, no. 22 (September 16, 1921) (Chroniclingamerica.loc.gov, viewed October 23, 2013).",,,0101000020E61000003D2828452B5558C09E42AED4B3604040,328,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Amerikaner,,http://chroniclingamerica.loc.gov/lccn/sn2001058020,New York,[s.n.],sn2001058020,12858639,Yiddish,1910-01-01 00:00:00+00,1921-01-01 00:00:00+00,,,,40.712784,-74.005941,,Jewish newspapers--New York (State)--New York.,Jewish newspapers--United States.,Frequent misnumberings.,In Yiddish.,Title from caption.,,0101000020E6100000282D5C56618052C0588E90813C5B4440,329,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Amerikaner Un Froyen Magazin The Jewish American And Women'S Magazine,,http://chroniclingamerica.loc.gov/lccn/sn2001058021,New York,[s.n.],sn2001058021,12824353,Yiddish,1904-01-01 00:00:00+00,1925-01-01 00:00:00+00,,,,40.712784,-74.005941,,Jewish newspapers--New York (State)--New York.,Jewish newspapers--United States.,Frequent misnumberings.,In Yiddish.,Title from caption.,,0101000020E6100000282D5C56618052C0588E90813C5B4440,330,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Amerikaner Froyen Magazin Un Gazeten The Jewish American Women'S Magazine And Gazette,,http://chroniclingamerica.loc.gov/lccn/sn2001058022,New York,[s.n.],sn2001058022,12850502,Yiddish,1925-01-01 00:00:00+00,1928-01-01 00:00:00+00,,,,40.712784,-74.005941,,Jewish newspapers--New York (State)--New York.,Jewish newspapers--United States.,Frequent misnumberings.,In Yiddish.,Title from caption.,,0101000020E6100000282D5C56618052C0588E90813C5B4440,331,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Kansas City Jewish Chronicle,Weekly (additional issue in June and Sept.),http://chroniclingamerica.loc.gov/lccn/sn78000624,Kansas City [Mo.,s.n.],sn78000624,4083614,English,1928-01-01 00:00:00+00,1929-01-01 00:00:00+00,Overland Park,Johnson,Kansas,38.982228,-94.670792,Kansas--Johnson--Overland Park,Jewish newspapers--Missouri--Kansas City.,Jewish newspapers--Southwestern States.,"Publication moved to Shawnee Mission/Overland Park, Kan., Apr. 29, 1983.",,,,0101000020E6100000C89A9141EEAA57C0959BA8A5B97D4340,332,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Monitor,Weekly,http://chroniclingamerica.loc.gov/lccn/sn89070104,"Fort Worth-Dallas, Tex.",[s.n.],sn89070104,19840742,English,1920-01-01 00:00:00+00,,Fort Worth,Tarrant,Texas,32.755488,-97.330766,Texas--Tarrant--Fort Worth,Fort Worth (Tex.)--Newspapers.,Jewish newspapers--Southwestern States.,Archived issues are available in digital format as part of the Library of Congress Chronicling America online collection.,"Description based on: Vol. 6, no. 22 (Aug. 10, 1917).",,,0101000020E61000003D2828452B5558C09E42AED4B3604040,333,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Press,Weekly,http://chroniclingamerica.loc.gov/lccn/sn89070132,"Omaha, Neb.",Jewish Press Pub. Co.,sn89070132,4073579,English,1910-01-01 00:00:00+00,1921-01-01 00:00:00+00,Omaha,Douglas,Nebraska,41.252363,-95.997988,Nebraska--Douglas--Omaha,Jewish newspapers--Middle West.,Jewish newspapers--United States.,Also available by subscription via the World Wide Web.,"Not published from mid-July to the last week of Aug. each year, 1960-1968.","Some numbering irregularities, 1923-1941.",,0101000020E61000003B730F09DFFF57C038DC476E4DA04440,334,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish World Of Long Island & Queens,Biweekly (except monthly June-Aug.),http://chroniclingamerica.loc.gov/lccn/sn95068793,"Commack, L.I., N.Y.",Israel Rubin,sn95068793,32282010,English,1920-01-01 00:00:00+00,,Commack,Suffolk,New York,40.842876,-73.292894,New York--Suffolk--Commack,Jewish newspapers--New York (State)--Long Island.,Jewish newspapers--New York (State)--New York.,"Description based on: Vol. 6, no. 7 (Mar. 4-17, 1977).",,,,0101000020E610000075CC79C6BE5252C0A94A5B5CE36B4440,335,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish World Of Long Island,Biweekly,http://chroniclingamerica.loc.gov/lccn/sn95068794,"Commack, N.Y.",Israel Rubin,sn95068794,32282273,English,1977-01-01 00:00:00+00,1978-01-01 00:00:00+00,Brooklyn,Kings,New York,40.678178,-73.944158,New York--Kings--Brooklyn,Jewish newspapers--New York (State)--Long Island.,Jewish newspapers--New York (State)--New York.,"Published in Smithtown, N.Y. by Jewish World Pub. Co., <Feb. 24/Mar. 9>-May 5/19, 1978; in Brooklyn, N.Y., May 19/June 2, 1978-1979.",,,,0101000020E61000006F10AD156D7C52C0F06E6589CE564440,336,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Hebrew Watchman,Weekly,http://chroniclingamerica.loc.gov/lccn/sn95068807,"Memphis, Tenn.",Leo I. Goldberger,sn95068807,32576844,English,1978-01-01 00:00:00+00,1979-01-01 00:00:00+00,Memphis,Shelby,Tennessee,35.149534,-90.04898,Tennessee--Shelby--Memphis,Jewish newspapers--Tennessee--Memphis.,Jewish newspapers--United States.,"""Established by Leo I. Goldberger (1902-1989).","""Formerly the Memphis Hebrew.""","Description based on: Vol. 1, no. 21 (Feb. 5, 1926).",Has unnumbered supplement in [Nov.? 1931]: Special cotton issue.,0101000020E61000001E8A027D228356C0EED11BEE23934140,337,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
New York Jewish Citizen,Monthly (Irregular),http://chroniclingamerica.loc.gov/lccn/sn92060485,New York [N.Y.],New York Jewish Citizen Pub. Co.,sn92060485,26478840,English,1925-01-01 00:00:00+00,,New York,New York,New York,40.712784,-74.005941,New York--New York--New York,Jewish newspapers--New York (State)--New York.,Jewish newspapers--United States.,"""New York's Jewish Home Paper.""",Editor: Henry E. Dann.,,,0101000020E6100000282D5C56618052C0588E90813C5B4440,338,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Idishe VңEltң,Daily (except Sat.),http://chroniclingamerica.loc.gov/lccn/sn96064337,New York,Lebanon Print. and Pub. Co.,sn96064337,35626890,English,1978-01-01 00:00:00+00,1982-01-01 00:00:00+00,New York,New York,New York,40.712784,-74.005941,New York--New York--New York,Jewish newspapers--New York (State)--New York.,Jewish newspapers.--fast--(OCoLC)fst00982872,"In Yiddish, with some English.",,,,0101000020E6100000282D5C56618052C0588E90813C5B4440,424,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Outlook,Weekly,http://chroniclingamerica.loc.gov/lccn/sn94092690,"Denver, Colo.",Jewish Outlook Pub. Co.,sn94092690,33144821,English,1929-01-01 00:00:00+00,,Denver,Denver,Colorado,39.739236,-104.990251,Colorado--Denver--Denver,Colorado--Denver.--fast--(OCoLC)fst01205192,Jewish newspapers--Colorado--Denver.,"""A weekly journal devoted to the communities of the Rocky Mountain Region.""","Description based on: Vol. 1, no. 3 (Nov. 20, 1903).",Microfilm.,,0101000020E610000034F5BA45603F5AC04F0306499FDE4340,339,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Sentiment,Weekly,http://chroniclingamerica.loc.gov/lccn/sn94092709,"Atlanta, Ga.",Omberg & Co.,sn94092709,32784578,English,1903-01-01 00:00:00+00,1913-01-01 00:00:00+00,Atlanta,Fulton,Georgia,33.748995,-84.387982,Georgia--Fulton--Atlanta,Alabama.--fast--(OCoLC)fst01204694,Atlanta (Ga.)--Newspapers.,"""The only Jewish paper South of Richmond and east of Mississippi River.""","Description based on: Vol. 5, no. 1 (Nov. 12, 1897); title from cover.","Editor: Frank J. Cohen, <Nov. 12, 1897-Aug. 2, 1901>.","Masthead title and running title: Jewish sentiment and echo, <Nov. 12, 1897>-May 19, 1899.",0101000020E6100000F25B74B2D41855C00BEF7211DFDF4040,340,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Idisher KңUryer The Daily Jewish Courier,Daily (except Saturday),http://chroniclingamerica.loc.gov/lccn/sn94092725,"Chicago, Ill.",Courier Pub. Co.,sn94092725,32785297,English,1800-01-01 00:00:00+00,1901-01-01 00:00:00+00,Chicago,Cook,Illinois,41.878114,-87.629798,Illinois--Cook--Chicago,Chicago (Ill.)--Newspapers.,Illinois--Chicago.--fast--(OCoLC)fst01204048,In Yiddish and English.,Microfilm.,Sunday issue has English title: The Sunday Jewish courier.,"Suspended Mar. 20-May 19, 1933. Cf. Gregory, Amer. newspapers.",0101000020E61000008445459C4EE855C07214200A66F04440,341,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Folkң Das Volk,Weekly,http://chroniclingamerica.loc.gov/lccn/sn94092737,"Philadelphia, Pa.",Social Territorialists of America,sn94092737,32785486,Yiddish,1887-01-01 00:00:00+00,1949-01-01 00:00:00+00,New York,New York,New York,40.712784,-74.005941,New York--New York--New York,Jewish newspapers--New York (State)--New York.,Jewish newspapers--Pennsylvania.,In Yiddish.,Masthead reads: New York & Philadelphia.,Microfilm.,,0101000020E6100000282D5C56618052C0588E90813C5B4440,342,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish American,Weekly,http://chroniclingamerica.loc.gov/lccn/sn91066460,"New York, N.Y.",Journal News Corp.,sn91066460,23591349,Yiddish,1906-01-01 00:00:00+00,1908-01-01 00:00:00+00,New York,New York,New York,40.712784,-74.005941,New York--New York--New York,Jewish newspapers--New York (State)--New York.,Jewish newspapers--United States.,"Description based on: Vol. 43, no. 26 (Apr. 20, 1945).",In Yiddish.,"Latest issue consulted: Vol. 66, no. 2 (Jan. 12, 1962).",,0101000020E6100000282D5C56618052C0588E90813C5B4440,343,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Ledger,Weekly,http://chroniclingamerica.loc.gov/lccn/sn93054086,"Hartford, Conn.",Jewish Ledger Publications,sn93054086,28641942,English,1945-01-01 00:00:00+00,,Hartford,Hartford,Connecticut,41.763711,-72.685093,Connecticut--Hartford--Hartford,Bridgeport (Conn.)--Newspapers.,Connecticut.--fast--(OCoLC)fst01205688,Available on microfilm from American Jewish Periodical Center.,"Combines Hartford, New Haven, Conn. and Springfield, Mass. eds.","Splits into Hartford, New Haven, Bridgeport, Conn. and Springfield, Mass. eds.",,0101000020E6100000FC6D4F90D82B52C0384C3448C1E14440,344,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Kansas City Jewish Chronicle,Weekly (additional issue in June and Sept.),http://chroniclingamerica.loc.gov/lccn/sn94084814,Kansas City [Mo.,s.n.],sn94084814,32376862,English,1942-01-01 00:00:00+00,1944-01-01 00:00:00+00,Overland Park,Johnson,Kansas,38.982228,-94.670792,Kansas--Johnson--Overland Park,Jewish newspapers--Missouri--Kansas City.,Jewish newspapers--Southwestern States.,Microfilm.,"Publication moved to Shawnee Mission/Overland Park, Kan., Apr. 29, 1983.",,,0101000020E6100000C89A9141EEAA57C0959BA8A5B97D4340,345,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Recorder = Yidisher RekңOrder,Weekly,http://chroniclingamerica.loc.gov/lccn/sn90066144,New York [N.Y.],Gustav Mintz,sn90066144,21477869,Yiddish,1920-01-01 00:00:00+00,,Chicago,Cook,Illinois,41.878114,-87.629798,Illinois--Cook--Chicago,Jewish newspapers--New York (State)--New York.,Jewish newspapers--United States.,In Yiddish.,Irregular numbering.,"Latest issue consulted: Vol. 4, no. 99 (Feb. 22, 1895).",,0101000020E61000008445459C4EE855C07214200A66F04440,346,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
"Beth Nahrin, Mesopotamia",Monthly,http://chroniclingamerica.loc.gov/lccn/sn93062935,"Paterson, N.J.",[s.n.],sn93062935,28280626,Syriac,1893-01-01 00:00:00+00,,West New York,Hudson,New Jersey,40.787879,-74.014306,New Jersey--Hudson--West New York,Assyrians--New Jersey--Newspapers.,Assyrians--United States--Newspapers.,"Description based on: Vol. 2, no. 3 (1897).",Editor: N.E. Palak.,"In Turkish, in Syriac script, <Mar. 8, 1916-Sept. 8, 1917>; issue for July 1932 in Modern Syriac.",Latest issue consulted: No. 9 (Mar. 1933).,0101000020E6100000BE88B663EA8052C0431A1538D9644440,347,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Post And Opinion,Weekly,http://chroniclingamerica.loc.gov/lccn/sn78004082,"Indianapolis, Ind.",G. Cohen,sn78004082,3431463,English,1924-01-01 00:00:00+00,,Indianapolis,,Indiana,39.768403,-86.158068,,Indiana--Indianapolis.--fast--(OCoLC)fst01205182,Indianapolis (Ind.)--Newspapers.,"Also available on microfilm from University Microfilms Internatinal, and the American Jewish Periodical Center.",Numbering is irregular.,,,0101000020E6100000D3A23EC91D8A55C0FB928D075BE24340,349,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
St Louis Jewish Light,"Weekly (except semiweekly, 3rd week of Sept.)",http://chroniclingamerica.loc.gov/lccn/sn78004104,"St. Louis, Mo.",Geoffrey Fischer,sn78004104,3919262,English,1966-01-01 00:00:00+00,1984-01-01 00:00:00+00,Saint Louis,,Missouri,38.627003,-90.199404,Missouri--Saint Louis,Jewish newspapers--Missouri--Saint Louis.,Jewish newspapers.--fast--(OCoLC)fst00982872,"""The newspaper of the Jewish Community of Greater St. Louis.""","Latest issue consulted: Vol. 56, no. 17 (Apr. 23, 2003).",,,0101000020E610000043ACFE08C38C56C038BF61A241504340,350,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Orange County Jewish Heritage,Weekly,http://chroniclingamerica.loc.gov/lccn/sn78005139,Garden Grove [Calif.],Heritage Pub. Co.,sn78005139,4098622,English,1963-01-01 00:00:00+00,,Garden Grove,Orange,California,33.773905,-117.941448,California--Orange--Garden Grove,California--Orange County.--fast--(OCoLC)fst01206289,California.--fast--(OCoLC)fst01204928,"Publication moved to Santa Ana, Calif.",,,,0101000020E61000009DB81CAF407C5DC0FE9AAC510FE34040,351,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
